"assay"	"Sample.Name"	"pool"	"dil"	"run"	"rep"	"CT"
"Assay01"	"2"	2	6	1	3	29.6599998474121
"Assay01"	"2"	2	6	1	3	29.4829998016357
"Assay01"	"2"	2	7	1	3	30.2119998931885
"Assay01"	"2"	2	7	1	3	30.632999420166
"Assay01"	"2"	2	8	1	3	40
"Assay01"	"2"	2	8	1	3	40
"Assay01"	"2"	2	1	1	4	24.3439998626709
"Assay01"	"2"	2	1	1	4	24.4589996337891
"Assay01"	"2"	2	2	1	4	25.3799991607666
"Assay01"	"2"	2	2	1	4	25.451000213623
"Assay01"	"2"	2	3	1	4	26.867000579834
"Assay01"	"2"	2	3	1	4	26.9409999847412
"Assay01"	"2"	2	4	1	4	27.6590003967285
"Assay01"	"2"	2	4	1	4	27.7210006713867
"Assay01"	"2"	2	5	1	4	28.8229999542236
"Assay01"	"2"	2	5	1	4	28.8419990539551
"Assay01"	"2"	2	6	1	4	29.5319995880127
"Assay01"	"2"	2	6	1	4	29.7700004577637
"Assay01"	"2"	2	7	1	4	30.2940006256104
"Assay01"	"2"	2	7	1	4	30.8339996337891
"Assay01"	"2"	2	8	1	4	31.7099990844727
"Assay01"	"2"	2	8	1	4	31.6499996185303
"Assay01"	"2"	2	1	1	5	24.6079998016357
"Assay01"	"2"	2	1	1	5	24.701000213623
"Assay01"	"2"	2	2	1	5	25.386999130249
"Assay01"	"2"	2	2	1	5	25.4710006713867
"Assay01"	"2"	2	3	1	5	27.3719997406006
"Assay01"	"2"	2	3	1	5	27.2390003204346
"Assay01"	"2"	2	4	1	5	27.2250003814697
"Assay01"	"2"	2	4	1	5	27.2259998321533
"Assay01"	"2"	2	5	1	5	29.003999710083
"Assay01"	"2"	2	5	1	5	29.1089992523193
"Assay01"	"2"	2	6	1	5	30.1940002441406
"Assay01"	"2"	2	6	1	5	30.4810009002686
"Assay01"	"2"	2	7	1	5	31.1060009002686
"Assay01"	"2"	2	7	1	5	31.2029991149902
"Assay01"	"2"	2	8	1	5	32.2630004882812
"Assay01"	"2"	2	8	1	5	31.8560009002686
"Assay01"	"2"	2	1	1	6	24.7159996032715
"Assay01"	"2"	2	1	1	6	24.7240009307861
"Assay01"	"2"	2	2	1	6	25.7450008392334
"Assay01"	"2"	2	2	1	6	25.6879997253418
"Assay01"	"2"	2	3	1	6	27.1599998474121
"Assay01"	"2"	2	3	1	6	27.0370006561279
"Assay01"	"2"	2	4	1	6	27.8959999084473
"Assay01"	"2"	2	4	1	6	27.8920001983643
"Assay01"	"2"	2	5	1	6	28.261999130249
"Assay01"	"2"	2	5	1	6	28.3969993591309
"Assay01"	"2"	2	6	1	6	30.2439994812012
"Assay01"	"2"	2	6	1	6	30.3020000457764
"Assay01"	"2"	2	7	1	6	30.9580001831055
"Assay01"	"2"	2	7	1	6	31.1490001678467
"Assay01"	"2"	2	8	1	6	40
"Assay01"	"2"	2	8	1	6	40
"Assay01"	"2"	2	1	1	7	24.75
"Assay01"	"2"	2	1	1	7	24.9780006408691
"Assay01"	"2"	2	2	1	7	25.9529991149902
"Assay01"	"2"	2	2	1	7	25.9640007019043
"Assay01"	"2"	2	3	1	7	26.9699993133545
"Assay01"	"2"	2	3	1	7	26.9580001831055
"Assay01"	"2"	2	4	1	7	27.7530002593994
"Assay01"	"2"	2	4	1	7	27.8540000915527
"Assay01"	"2"	2	5	1	7	28.7250003814697
"Assay01"	"2"	2	5	1	7	28.5970001220703
"Assay01"	"2"	2	6	1	7	30.173999786377
"Assay01"	"2"	2	6	1	7	30.42799949646
"Assay01"	"2"	2	7	1	7	30.9850006103516
"Assay01"	"2"	2	7	1	7	30.878999710083
"Assay01"	"2"	2	8	1	7	31.8649997711182
"Assay01"	"2"	2	8	1	7	31.8449993133545
"Assay01"	"2"	3	1	1	1	23.5869998931885
"Assay01"	"2"	3	1	1	1	23.6389999389648
"Assay01"	"2"	3	2	1	1	24.5809993743896
"Assay01"	"2"	3	2	1	1	24.7220001220703
"Assay01"	"2"	3	3	1	1	25.8139991760254
"Assay01"	"2"	3	3	1	1	25.9750003814697
"Assay01"	"2"	3	4	1	1	26.8889999389648
"Assay01"	"2"	3	4	1	1	26.7719993591309
"Assay01"	"2"	3	5	1	1	27.6979999542236
"Assay01"	"2"	3	5	1	1	28.0550003051758
"Assay01"	"2"	3	6	1	1	28.693000793457
"Assay01"	"2"	3	6	1	1	28.7019996643066
"Assay01"	"2"	3	7	1	1	30.4099998474121
"Assay01"	"2"	3	7	1	1	30.3339996337891
"Assay01"	"2"	3	8	1	1	32.3530006408691
"Assay01"	"2"	3	8	1	1	32.8819999694824
"Assay01"	"2"	3	1	1	2	23.9150009155273
"Assay01"	"2"	3	1	1	2	23.9209995269775
"Assay01"	"2"	3	2	1	2	24.8290004730225
"Assay01"	"2"	3	2	1	2	24.9130001068115
"Assay01"	"2"	3	3	1	2	25.8439998626709
"Assay01"	"2"	3	3	1	2	25.8129997253418
"Assay01"	"2"	3	4	1	2	27.132999420166
"Assay01"	"2"	3	4	1	2	27.0639991760254
"Assay01"	"2"	3	5	1	2	27.9330005645752
"Assay01"	"2"	3	5	1	2	28.4290008544922
"Assay01"	"2"	3	6	1	2	28.5219993591309
"Assay01"	"2"	3	6	1	2	28.4409999847412
"Assay01"	"2"	3	7	1	2	29.6089992523193
"Assay01"	"2"	3	7	1	2	29.7110004425049
"Assay01"	"2"	3	8	1	2	30.9260005950928
"Assay01"	"2"	3	8	1	2	31.173999786377
"Assay01"	"2"	3	1	1	3	23.7430000305176
"Assay01"	"2"	3	1	1	3	23.8390007019043
"Assay01"	"2"	3	2	1	3	25.0410003662109
"Assay01"	"2"	3	2	1	3	24.9559993743896
"Assay01"	"2"	3	3	1	3	26.0830001831055
"Assay01"	"2"	3	3	1	3	25.9839992523193
"Assay01"	"2"	3	4	1	3	27.07200050354
"Assay01"	"2"	3	4	1	3	27.0520000457764
"Assay01"	"2"	3	5	1	3	27.1100006103516
"Assay01"	"2"	3	5	1	3	27.2210006713867
"Assay01"	"2"	3	6	1	3	28.7999992370605
"Assay01"	"2"	3	6	1	3	28.7889995574951
"Assay01"	"2"	3	7	1	3	29.7450008392334
"Assay01"	"2"	3	7	1	3	29.8899993896484
"Assay01"	"2"	3	8	1	3	30.3530006408691
"Assay01"	"2"	3	8	1	3	30.4799995422363
"Assay01"	"2"	3	1	1	4	23.7959995269775
"Assay01"	"2"	3	1	1	4	23.8509998321533
"Assay01"	"2"	3	2	1	4	24.7019996643066
"Assay01"	"2"	3	2	1	4	24.7080001831055
"Assay01"	"2"	3	3	1	4	26.0809993743896
"Assay01"	"2"	3	3	1	4	26.0389995574951
"Assay01"	"2"	3	4	1	4	27.2910003662109
"Assay01"	"2"	3	4	1	4	27.2029991149902
"Assay01"	"2"	3	5	1	4	27.867000579834
"Assay01"	"2"	3	5	1	4	27.8209991455078
"Assay01"	"2"	3	6	1	4	28.6019992828369
"Assay01"	"2"	3	6	1	4	28.6459999084473
"Assay01"	"2"	3	7	1	4	30.7660007476807
"Assay01"	"2"	3	7	1	4	30.4680004119873
"Assay01"	"2"	3	8	1	4	32.5209999084473
"Assay01"	"2"	3	8	1	4	32.765998840332
"Assay01"	"2"	3	1	1	5	23.8899993896484
"Assay01"	"2"	3	1	1	5	24.0729999542236
"Assay01"	"2"	3	2	1	5	25.011999130249
"Assay01"	"2"	3	2	1	5	25.0130004882812
"Assay01"	"2"	3	3	1	5	26.0970001220703
"Assay01"	"2"	3	3	1	5	26.1860008239746
"Assay01"	"2"	3	4	1	5	26.6499996185303
"Assay01"	"2"	3	4	1	5	26.6450004577637
"Assay01"	"2"	3	5	1	5	27.4930000305176
"Assay01"	"2"	3	5	1	5	27.568000793457
"Assay01"	"2"	3	6	1	5	29.193000793457
"Assay01"	"2"	3	6	1	5	29.1439990997314
"Assay01"	"2"	3	7	1	5	30.9179992675781
"Assay01"	"2"	3	7	1	5	30.6940002441406
"Assay01"	"2"	3	8	1	5	30.3190002441406
"Assay01"	"2"	3	8	1	5	30.6720008850098
"Assay01"	"2"	3	1	1	6	23.818000793457
"Assay01"	"2"	3	1	1	6	23.9080009460449
"Assay01"	"2"	3	2	1	6	25.1889991760254
"Assay01"	"2"	3	2	1	6	25.1520004272461
"Assay01"	"2"	3	3	1	6	25.9839992523193
"Assay01"	"2"	3	3	1	6	25.92799949646
"Assay01"	"2"	3	4	1	6	26.6849994659424
"Assay01"	"2"	3	4	1	6	26.6830005645752
"Assay01"	"2"	3	5	1	6	27.6490001678467
"Assay01"	"2"	3	5	1	6	27.6830005645752
"Assay01"	"2"	3	6	1	6	28.613000869751
"Assay01"	"2"	3	6	1	6	28.75
"Assay01"	"2"	3	7	1	6	29.3969993591309
"Assay01"	"2"	3	7	1	6	29.4290008544922
"Assay01"	"2"	3	8	1	6	31.1319999694824
"Assay01"	"2"	3	8	1	6	31.7759990692139
"Assay01"	"2"	3	1	1	7	23.8910007476807
"Assay01"	"2"	3	1	1	7	23.988000869751
"Assay01"	"2"	3	2	1	7	24.5939998626709
"Assay01"	"2"	3	2	1	7	24.6909999847412
"Assay01"	"2"	3	3	1	7	25.9340000152588
"Assay01"	"2"	3	3	1	7	25.9559993743896
"Assay01"	"2"	3	4	1	7	26.5340003967285
"Assay01"	"2"	3	4	1	7	26.6229991912842
"Assay01"	"2"	3	5	1	7	27.6849994659424
"Assay01"	"2"	3	5	1	7	27.8570003509521
"Assay01"	"2"	3	6	1	7	28.7080001831055
"Assay01"	"2"	3	6	1	7	28.7280006408691
"Assay01"	"2"	3	7	1	7	28.9890003204346
"Assay01"	"2"	3	7	1	7	28.9309997558594
"Assay01"	"2"	3	8	1	7	32.2350006103516
"Assay01"	"2"	3	8	1	7	31.8910007476807
"Assay01"	"2"	1	1	2	1	24.0400009155273
"Assay01"	"2"	1	1	2	1	23.9909992218018
"Assay01"	"2"	1	2	2	1	25.17799949646
"Assay01"	"2"	1	2	2	1	25.0879993438721
"Assay01"	"2"	1	3	2	1	26.1909999847412
"Assay01"	"2"	1	3	2	1	26.136999130249
"Assay01"	"2"	1	4	2	1	27.2870006561279
"Assay01"	"2"	1	4	2	1	27.2959995269775
"Assay01"	"2"	1	5	2	1	28.4360008239746
"Assay01"	"2"	1	5	2	1	28.5410003662109
"Assay01"	"2"	1	6	2	1	29.8600006103516
"Assay01"	"2"	1	6	2	1	30.0249996185303
"Assay01"	"2"	1	7	2	1	30.6539993286133
"Assay01"	"2"	1	7	2	1	30.7409992218018
"Assay01"	"2"	1	8	2	1	30.886999130249
"Assay01"	"2"	1	8	2	1	31
"Assay01"	"2"	1	1	2	2	23.8570003509521
"Assay01"	"2"	1	1	2	2	24.007999420166
"Assay01"	"2"	1	2	2	2	25.4610004425049
"Assay01"	"2"	1	2	2	2	25.4109992980957
"Assay01"	"2"	1	3	2	2	26.4179992675781
"Assay01"	"2"	1	3	2	2	26.4899997711182
"Assay01"	"2"	1	4	2	2	26.7889995574951
"Assay01"	"2"	1	4	2	2	26.9750003814697
"Assay01"	"2"	1	5	2	2	28.2779998779297
"Assay01"	"2"	1	5	2	2	28.5319995880127
"Assay01"	"2"	1	6	2	2	29.9869995117188
"Assay01"	"2"	1	6	2	2	29.8120002746582
"Assay01"	"2"	1	7	2	2	30.3570003509521
"Assay01"	"2"	1	7	2	2	30.3969993591309
"Assay01"	"2"	1	8	2	2	30.9850006103516
"Assay01"	"2"	1	8	2	2	31.0550003051758
"Assay01"	"2"	1	1	2	3	24.2029991149902
"Assay01"	"2"	1	1	2	3	24.2870006561279
"Assay01"	"2"	1	2	2	3	25.3320007324219
"Assay01"	"2"	1	2	2	3	25.2649993896484
"Assay01"	"2"	1	3	2	3	26.5069999694824
"Assay01"	"2"	1	3	2	3	26.5149993896484
"Assay01"	"2"	1	4	2	3	27.1949996948242
